# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.3335229; -1.2196147; -1.4949908; 0.0925706; 4.8972272; -0.3552974
1.9481400; 2.2625337; -0.8944188; -1.3113734; 0.0962690; 4.7537875; -0.2163404
3.8962800; 4.1068751; -0.2053426; -1.1124691; 0.1005871; 4.6642870; -0.7980066
5.8444200; 5.8122757; 0.8595521; -0.9079337; 0.1170813; 4.3181380; -1.0044912
7.7925599; 7.1332506; 2.2720686; -0.5498179; 0.2375694; 3.8382987; -1.0044912
9.7406999; 7.7857951; 3.9327062; -0.1964677; 0.2451546; 3.2891881; 0.1100885
11.6888399; 7.7576915; 5.8544946; 0.1808146; 0.1337849; 3.3537582; 1.2283397
13.6369799; 7.1384077; 7.7769136; 0.4467427; 0.1369591; 4.0042039; 0.2108417
15.5851199; 6.0785090; 9.4106674; 0.7009416; 0.1269807; 4.1055021; 0.2105072
17.5332599; 4.6581939; 10.7322563; 0.9330311; 0.1021076; 4.2042053; 0.4900769
19.4813999; 2.9985202; 11.7597277; 1.0767234; 0.0261388; 4.4254739; 1.6527473
21.4295398; 1.3085151; 12.7075308; 0.9968121; -0.1174073; 5.1014102; -1.3298424
23.3776798; -0.1588896; 13.9584542; 0.7210582; -0.1532386; 4.5654077; -1.1150544
25.3258198; -1.2172639; 15.4911791; 0.5385668; -0.0113518; 4.0618202; 2.1878240
27.2739598; -2.3244288; 17.2202669; 0.6303865; 0.0708820; 5.0022753; -2.6131459
29.2220998; -3.6433736; 18.7710669; 0.7905179; 0.1069462; 3.8524291; -1.8541487
31.1702398; -5.2897829; 19.8945024; 1.2295931; 0.2842599; 2.7598782; -0.4103297
33.1183797; -6.9583889; 20.2802373; 1.5095244; 0.5815723; 2.4531955; -0.4103297
35.0665197; -8.7336867; 19.7772348; 2.0300504; 0.1294712; 2.1022391; 2.6264904
37.0146597; -10.4712833; 18.6075039; 2.2994244; 0.1262291; 3.8279173; 0.6513056
38.9627997; -11.7640973; 17.1435366; 2.5354016; 0.1214327; 4.1461573; 0.2404096
40.9109397; -12.6694156; 15.4280252; 2.7720599; 0.1089540; 4.2576194; 0.2890021
42.8590797; -13.2028798; 13.5621132; 2.9387769; 0.0645532; 4.3878647; 0.9444060
44.8072197; -13.4779328; 11.6386974; 3.0589675; 0.0603182; 4.7888440; 0.5531059
46.7553596; -13.5216701; 9.6763839; -3.0990107; 0.0748493; 5.0088004; -0.0883769
48.7034996; -13.2765344; 7.7510648; -2.9188691; 0.1118190; 4.9743080; -0.9538945
50.6516396; -12.6345863; 5.9072024; -2.6972752; 0.1079390; 4.5855316; -0.2033102
52.5997796; -11.6070339; 4.2258205; -2.4912810; 0.0984761; 4.4983271; 0.1276866
54.5479196; -10.2868953; 2.7965471; -2.2952725; 0.1167898; 4.5532900; -0.3349155
56.4960596; -8.7235317; 1.6831626; -2.1325375; -0.0244790; 4.4076666; 1.6998297
58.4441996; -7.1993614; 0.6576996; -2.1439265; 0.0762629; 5.1039727; -0.2628627
60.3923395; -5.4569035; -0.2503799; -1.9599626; 0.0803962; 5.0026343; -0.2183645
62.3404795; -3.5539211; -0.8696844; -1.8133618; 0.0723613; 4.9168630; 0.1022934
64.2886195; -1.6159245; -1.1996764; -1.6630888; 0.0804198; 4.9572276; -0.1517527
66.2367595; 0.3335229; -1.2196147; -1.4949908; 0.0925706; 4.8972272; -0.3552974
